name,fb_fan_count,fb_talking_about_count,fb_checkins,fs_rating,fs_ratingCount,fs_likesCount,fs_photosCount,fs_tipsCount,fs_checkinsCount,fs_visitsCounts,fs_usersCounts,AverageVisitors,NormalizedAnnualVisCnt,Popular
Acadia National Park,11437,1835,97589,9.6,459,388,418,85,7817,9808,7483,2474832,0.524546318,1
Arches National Park,336470,8069,436857,9.5,509,428,1119,116,9184,10235,8713,1126363,0.237798227,0
Badlands National Park,108227,1384,225723,9,39,35,55,4,321,773,769,914431,0.192731661,0
Big Bend National Park,39521,1684,80155,9.4,94,76,116,23,1168,1533,1062,351861,0.073102711,0
Biscayne National Park,15825,1148,27903,8.7,91,66,142,18,1274,1703,1228,511602,0.107071073,0
Black Canyon of the Gunnison National Park,28740,1043,52296,8.3,32,24,125,9,629,670,602,189454,0.038567346,0
Bryce Canyon National Park,59155,2577,241341,9.6,582,501,965,103,8995,11309,9849,1409764,0.298062621,0
Canyonlands National Park,231535,1709,124993,9.2,129,109,269,23,2372,2794,2569,506865,0.106063763,0
Capitol Reef National Park,25496,1753,54244,8.7,68,52,133,15,1189,1426,1191,723788,0.152191949,0
Carlsbad Caverns National Park,3900,54,35651,9,199,152,327,54,3410,3961,3418,411553,0.085796002,0
Channel Islands National Park,23297,434,22659,7.9,34,23,76,12,817,1206,1010,305541,0.063252767,0
Congaree National Park,3429,72,16913,7.8,42,29,60,10,638,944,667,116628,0.023081126,0
Crater Lake National Park,231329,14061,252661,9.2,192,149,598,57,2915,3305,2956,507987,0.10630246,0
Cuyahoga Valley National Park,35134,2170,38757,9.2,169,139,135,25,4835,6220,3132,2385862,0.50562708,1
Death Valley National Park,35134,2170,38757,8.9,385,308,843,82,8427,10151,8662,982525,0.207211656,0
Denali National Park and Preserve,322762,34904,243934,9.3,211,175,308,40,4825,6999,4367,463293,0.09679845,0
Dry Tortugas National Park,26434,763,5227,0,0,6,13,0,59,60,59,63425,0.011767638,0
Everglades National Park,62657,3860,196582,8.5,220,154,599,71,6127,6171,5035,995591,0.209990019,0
Gates of the Arctic National Park,29413,530,1885,0,0,0,1,0,3,3,2,11015,0.000622716,0
Glacier National Park,670611,22788,491261,9.5,126,105,268,27,2710,3034,2220,469918,0.098207089,0
Glacier Bay National Park,49226,734,43274,7.2,14,10,40,4,207,210,190,2197999,0.465678654,0
Grand Canyon National Park,449648,36520,2088658,9.4,1165,901,3786,352,34157,36464,28977,4710712,1,1
Grand Teton National Park,512773,15692,380813,9.6,313,261,636,63,7194,8236,6187,2751689,0.583419298,1
Great Basin National Park,18747,446,6843,7.5,14,10,24,2,118,123,107,97213,0.018952539,0
Great Sand Dunes National Park and Preserve,47367,3927,140867,9.2,112,87,390,32,2145,2467,2088,286943,0.059298062,0
Great Smoky Mountains National Park,680384,30490,535640,9.5,389,308,727,99,15235,15921,11022,9754533,1,1
Guadalupe Mountains National Park,15984,613,13227,8.7,25,22,66,3,519,570,479,169573,0.034339623,0
Haleakala National Park,20477,1005,81071,9.1,333,269,647,82,6097,6729,6074,1118192,0.236060814,0
Hawaii Volcanoes National Park,93932,2301,85959,9.3,516,435,682,86,11277,12549,10789,1510859,0.319560376,0
Hot Springs National Park,11978,753,73858,9.2,133,109,145,26,2076,3275,2428,1354634,0.286339426,0
Isle Royale National Park,22149,1985,13330,0,0,0,1,0,0,0,0,16750,0.001842184,0
Joshua Tree National Park,114379,18166,444986,9.4,524,436,1217,93,10436,12667,9732,1572751,0.332721491,0
Katmai National Park and Preserve,46998,8321,10283,0,0,3,5,4,14,16,16,41307,0.00706416,0
Kenai Fjords National Park,34982,433,32120,8.9,29,22,56,9,621,689,631,289828,0.059911485,0
Kings Canyon National Park,1089,0,15255,9,106,83,189,23,1677,2127,1751,566574,0.118760776,0
Kobuk Valley National Park,2756,7,157,0,0,0,1,0,0,0,0,8087,0,0
Lake Clark National Park,22110,597,6677,0,0,0,1,1,3,3,2,11681,0.00076436,0
Lassen Volcanic National Park,41700,1491,77805,9.1,61,50,105,15,1093,1229,1047,414610,0.086445958,0
Mammoth Cave National Park,26685,222,65307,9.2,324,265,280,62,5205,6420,5555,509651,0.106656283,0
Mesa Verde National Park,34742,1189,96335,9.4,175,144,282,35,2798,3485,3026,535648,0.112184407,0
Mount Rainier National Park,244569,4505,159191,9.2,190,152,536,48,3320,3552,2922,1164868,0.245986333,0
National Park of American Samoa,16840,443,1577,7.9,8,5,4,2,34,34,27,23084,0.003189261,0
North Cascades National Park,12690,379,2106,8.7,24,17,35,8,402,410,366,3096576,0.656758557,1
Olympic National Park,102720,3612,126993,9.5,100,85,122,21,2184,2839,1894,660050,0.13863816,0
Petrified Forest National Park,27592,537,0,8.8,129,102,276,27,3225,3298,3032,221979,0.045483609,0
Pinnacles National Park,13261,509,52624,8.2,82,58,176,29,1045,1104,901,426397,0.088952536,0
Redwood National Park,261681,1368,95107,9.2,107,87,331,25,2429,2589,2211,3293687,0.698673586,1
Rocky Mountain National Park,657561,20285,697649,9.6,574,494,1025,110,11798,15248,11176,691050,0.1452302,0
Saguaro National Park,32951,727,58834,8.8,118,89,354,23,2019,2551,1513,1029143,0.217124692,0
Sequoia National Park,338172,6316,263089,9.1,117,92,465,28,2450,2549,2204,1212860,0.256191546,0
Shenandoah National Park,275456,6737,249693,9,177,141,459,45,5284,5623,4393,582661,0.122181694,0
Theodore Roosevelt National Park,25751,422,0,8.9,62,49,163,17,1288,1600,1311,459074,0.095901228,0
Virgin Islands National Park,10171,2170,6487,8.7,23,15,20,7,310,322,236,226336,0.046410028,0
Voyageurs National Park,10049,526,8930,0,0,0,2,0,24,29,21,570182,0.119527922,0
Wind Cave National Park,18756,533,27851,8.2,39,29,115,8,988,1165,985,450385,0.094053473,0
Wrangell-St. Elias National Park and Preserve,17958,630,4052,0,0,1,4,1,45,64,52,71642,0.013514811,0
Yellowstone National Park,1003152,27333,674838,9.3,238,180,652,72,7108,7307,5714,3505175,0.743645928,1
Yosemite National Park,965095,71999,1532669,9.5,1276,1085,2754,246,22647,29874,22097,3913154,0.830401415,1
Zion National Park,391417,9780,914916,9.5,848,727,1400,154,14598,19156,14832,3048898,0.646619839,1
