were_here_count,can_checkin,rating_count,fan_count,overall_star_rating,talking_about_count,checkins,name,category,location,id
4248,TRUE,110,2932,4.6,88,4248,Abbey House Museum,History Museum,"{'city': 'Leeds', 'country': 'United Kingdom', 'latitude': 53.822391757442, 'longitude': -1.6065573692322, 'street': 'Abbey Walk Kirkstall Leeds', 'zip': 'LS5 3EH'}",121166961271543
4,TRUE,1,1235,5,12,4,Abbot Hall Art Gallery,Art Gallery,"{'city': 'Kendal', 'country': 'United Kingdom', 'latitude': 54.323250260779, 'longitude': -2.7449834346771, 'street': 'Abbot Hall Art Gallery, 9 Church Walk', 'zip': 'LA9 5AL'}",160164140688650
0,TRUE,0,68,0,0,0,Agricultural Museum Brook,Nonprofit Organization,"{'city': 'Brook, Ashford', 'street': 'The Street', 'zip': 'TN25 5PF'}",865896220170580
56,TRUE,1,211,5,0,56,Allen Gallery,Art Museum,"{'city': 'Alton', 'country': 'United Kingdom', 'latitude': 51.1503192, 'longitude': -0.9743724, 'street': '10-12 Church Street', 'zip': 'GU34 2BW'}",518064071701400
164,TRUE,11,440,4.5,14,164,Amersham Museum,History Museum,"{'city': 'Amersham', 'country': 'United Kingdom', 'latitude': 51.6667606, 'longitude': -0.617641, 'street': '49 High Street', 'zip': 'HP7 0DP'}",229087327129644
205,TRUE,21,100,4.9,0,205,Arctic Corsair,Museum,"{'city': 'Kingston upon Hull', 'country': 'United Kingdom', 'latitude': 53.742777777778, 'longitude': -0.32777777777778, 'zip': 'HU1 1'}",143584302324384
310,TRUE,11,767,4.1,20,310,Arundel Museum,History Museum,"{'city': 'Arundel', 'country': 'United Kingdom', 'latitude': 50.854243559229, 'longitude': -0.55221366102679, 'street': 'Mill Rd', 'zip': 'BN18 9PA'}",128946110493368
58,TRUE,4,399,5,29,58,Ashford Museum,History Museum,"{'city': 'Ashford', 'country': 'United Kingdom', 'latitude': 51.148784529421, 'longitude': 0.87236166000366, 'street': 'Church Yard', 'zip': 'TN23 1QG'}",1682059595345000
41306,TRUE,1383,48450,4.6,3154,41306,Ashmolean Museum,Art Museum,"{'city': 'Oxford', 'country': 'United Kingdom', 'latitude': 51.755302548605, 'longitude': -1.260016941809, 'street': 'Beaumont St', 'zip': 'OX1 2'}",171093413441
8,TRUE,0,268,0,35,8,Ashwell Village Museum,History Museum,"{'city': 'Ashwell', 'country': 'United Kingdom', 'latitude': 52.0412, 'longitude': -0.1542, 'street': 'Swan Street', 'zip': 'SG7 5NY'}",171485106244154
36,TRUE,0,8,0,0,36,Astley Cheetham Art Gallery,Art Gallery,"{'city': 'Stalybridge', 'country': 'United Kingdom', 'latitude': 53.48323236, 'longitude': -2.055882265, 'zip': 'SK15 2'}",1439066582999650
901,TRUE,94,2295,4.6,42,901,Aston Manor Road Transport Museum,History Museum,"{'city': 'Aldridge', 'country': 'United Kingdom', 'latitude': 52.611990914017, 'longitude': -1.9226239755708, 'street': 'Shenstone Drive', 'zip': 'WS9 8TP'}",486179364741472
38,TRUE,4,251,5,12,38,Athelstan Museum Malmesbury,History Museum,"{'city': 'Malmesbury', 'country': 'United Kingdom', 'latitude': 51.58358368176, 'longitude': -2.0968373374733, 'street': 'Town Hall', 'zip': 'SN169BZ'}",521760201245393
766,TRUE,17,1057,5,27,766,Ayscoughfee Hall Museum & Gardens,Park,"{'city': 'Spalding', 'country': 'United Kingdom', 'latitude': 52.78631048, 'longitude': -0.15786851, 'street': 'Churchgate', 'zip': 'PE11 2RA'}",107156796017892
0,TRUE,21,911,4.6,24,1592,Bagshaw Museum,History Museum,"{'city': 'Batley', 'country': 'United Kingdom', 'latitude': 53.727827714199, 'longitude': -1.6448645875539, 'street': 'Wilton Park', 'zip': 'WF17 0AS'}",305765312887683
410,TRUE,36,802,4.9,129,410,"Bailiffgate Museum, Alnwick",History Museum,"{'city': 'Alnwick', 'country': 'United Kingdom', 'latitude': 55.41606, 'longitude': -1.709, 'street': '14 Bailiffgate', 'zip': 'NE66 1LX'}",57364731509
0,TRUE,0,1118,0,3,0,Barnet Museum,Museum,"{'city': 'Barnet', 'street': '31 Wood Street', 'zip': 'EN5 4BE'}",180479488666733
698,TRUE,51,1469,4.6,17,698,Bassetlaw Museum,Art Gallery,"{'city': 'East Retford', 'country': 'United Kingdom', 'latitude': 53.3223273, 'longitude': -0.9395863, 'street': 'Amcott House, 40 Grove Street,', 'zip': 'DN22 6LD'}",107493135975792
32,TRUE,5,240,4.2,28,32,Brixham Heritage Museum,History Museum,"{'city': 'Brixham', 'country': 'United Kingdom', 'latitude': 50.394211136471, 'longitude': -3.5162043571472, 'street': 'The Old Police Station, Bolton Cross,', 'zip': 'TQ5 8LZ'}",717832238368815
75,TRUE,9,226,4.2,1,75,Bayle Museum,History Museum,"{'city': 'Bridlington', 'country': 'United Kingdom', 'latitude': 54.093553376796, 'longitude': -0.20360994132912, 'street': 'Baylegate', 'zip': 'YO16 7JT'}",253427288100575
209510,TRUE,7531,108521,4.8,4112,209510,Beamish Museum,Landmark & Historical Place,"{'city': 'Stanley', 'country': 'United Kingdom', 'latitude': 54.882271428893, 'longitude': -1.6592765997075, 'street': 'Beamish', 'zip': 'DH9 0RG'}",104659669569076
742,TRUE,15,409,4.7,0,742,Beatrix Potter Gallery,Landmark & Historical Place,"{'city': 'Hawkshead', 'country': 'United Kingdom', 'latitude': 54.3752, 'longitude': -2.99828}",119430161435991
103244,TRUE,3276,34877,4.5,647,103244,"Beaulieu, National Motor Museum",Performance & Event Venue,"{'city': 'Brockenhurst', 'country': 'United Kingdom', 'latitude': 50.823604851841, 'longitude': -1.4534689270818, 'street': 'Beaulieu', 'zip': 'SO42 7ZN'}",44073777877
0,TRUE,0,115,0,6,0,Beccles and District Museum,Nonprofit Organization,,127603747782548
6,TRUE,4,170,5,158,6,Beckstones Art Gallery,Art Gallery,"{'city': 'Penrith', 'country': 'United Kingdom', 'latitude': 54.66894, 'longitude': -2.86919, 'street': 'Greystoke Ghyll', 'zip': 'CA11 0UQ'}",1032670973493010
329,TRUE,34,2476,4.8,31,329,Ben Uri Gallery & Museum,Art Museum,"{'city': 'London', 'country': 'United Kingdom', 'latitude': 51.5375023, 'longitude': -0.1852999, 'street': '108 Boundary Road', 'zip': 'NW8 0RH'}",47034548982
50175,TRUE,1615,24254,4.4,428,50175,Birmingham Museum and Art Gallery (UK),Art Museum,"{'city': 'Birmingham', 'country': 'United Kingdom', 'latitude': 52.480114326665, 'longitude': -1.9036388397217, 'street': 'Chamberlain Square', 'zip': 'B3 3DH'}",34806457974
